time;V(V_tia);
0;1.0248;
2e-11;1.0248;
4e-11;1.0248;
8e-11;1.0248;
1.6e-10;1.0248;
3.2e-10;1.0248;
6.4e-10;1.0248;
1.28e-09;1.0248;
2e-09;1.0248;
2.128e-09;1.0248;
2.384e-09;1.0248;
2.896e-09;1.0248;
3.92e-09;1.0248;
4e-09;1.0248;
4.16e-09;1.0248;
4.48e-09;1.0248;
5.12e-09;1.0248;
6.4e-09;1.0248;
8.96e-09;1.0248;
1.408e-08;1.0248;
2.432e-08;1.0248;
4.48e-08;1.0248;
8.576e-08;1.0248;
1.6768e-07;1.02481;
3.3152e-07;1.02485;
6.20191e-07;1.02497;
8.90845e-07;1.02515;
1.1464e-06;1.02538;
1.42384e-06;1.02568;
1.69229e-06;1.02603;
1.99768e-06;1.02648;
2.32166e-06;1.02701;
2.61868e-06;1.02754;
2.72186e-06;1.02774;
2.77142e-06;1.02783;
2.78128e-06;1.02785;
2.7864e-06;1.02786;
2.78892e-06;1.02786;
2.79079e-06;1.02787;
2.7921e-06;1.02787;
2.7932e-06;1.02787;
2.79421e-06;1.02787;
2.79523e-06;1.02787;
2.7963e-06;1.02788;
2.79757e-06;1.02788;
2.79914e-06;1.02788;
2.80123e-06;1.02789;
2.80419e-06;1.02789;
2.80849e-06;1.0279;
2.81328e-06;1.02791;
2.81821e-06;1.02792;
2.82331e-06;1.02793;
2.82911e-06;1.02794;
2.83561e-06;1.02795;
2.84355e-06;1.02797;
2.85279e-06;1.02798;
2.86524e-06;1.02801;
2.88094e-06;1.02804;
2.90612e-06;1.02809;
2.94334e-06;1.02816;
3.01778e-06;1.0283;
3.13371e-06;1.02853;
3.34089e-06;1.02895;
3.73359e-06;1.02974;
4.38182e-06;1.03103;
5.06002e-06;1.03227;
5.4379e-06;1.03289;
5.82782e-06;1.03345;
6.22827e-06;1.03394;
6.60567e-06;1.03431;
7.08322e-06;1.03465;
7.70718e-06;1.03485;
8.62112e-06;1.0347;
9.62112e-06;1.03398;
1.06211e-05;1.03287;
1.16211e-05;1.03156;
1.26211e-05;1.03027;
1.33631e-05;1.02945;
1.40409e-05;1.02886;
1.47188e-05;1.02846;
1.54503e-05;1.02827;
1.64503e-05;1.02838;
1.74503e-05;1.02888;
1.84503e-05;1.02965;
1.91661e-05;1.03029;
1.98203e-05;1.03089;
2.04796e-05;1.03146;
2.13295e-05;1.03208;
2.23091e-05;1.03257;
2.30263e-05;1.03276;
2.36656e-05;1.03278;
2.43325e-05;1.03268;
2.49907e-05;1.03247;
