time;V(V_filt);
0;-1.12428e-09;
2e-11;-1.12425e-09;
4e-11;-1.12422e-09;
8e-11;-1.12416e-09;
1.6e-10;-1.12403e-09;
3.2e-10;-1.12378e-09;
6.4e-10;-1.1233e-09;
1.28e-09;-1.1225e-09;
2e-09;-1.12186e-09;
2.128e-09;-1.72724e-09;
2.384e-09;-4.14411e-09;
2.896e-09;-1.61568e-08;
3.92e-09;-6.83307e-08;
4e-09;-7.39727e-08;
4.16e-09;-8.54225e-08;
4.48e-09;-1.08208e-07;
5.12e-09;-1.53098e-07;
6.4e-09;-2.40221e-07;
8.96e-09;-4.04293e-07;
1.408e-08;-6.94835e-07;
2.432e-08;-1.14337e-06;
4.48e-08;-1.58742e-06;
8.576e-08;-8.69769e-07;
1.6768e-07;6.57178e-06;
3.3152e-07;4.27301e-05;
6.592e-07;0.000180071;
1.12206e-06;0.000468584;
1.58546e-06;0.000808742;
2.1298e-06;0.00120938;
2.72003e-06;0.00159862;
3.58012e-06;0.00203275;
4.58012e-06;0.00232816;
5.58012e-06;0.00242859;
6.58012e-06;0.00238645;
7.58012e-06;0.00225285;
8.58012e-06;0.00206868;
9.58012e-06;0.0018632;
1.05801e-05;0.00165578;
1.15801e-05;0.00145816;
1.25801e-05;0.00127678;
1.35801e-05;0.00111446;
1.45801e-05;0.000971794;
1.55801e-05;0.000848024;
1.65801e-05;0.000741679;
1.75801e-05;0.000650955;
1.85801e-05;0.000573978;
1.95801e-05;0.000508925;
2.05801e-05;0.000454123;
2.15801e-05;0.000408061;
2.25801e-05;0.000369416;
2.35801e-05;0.000337036;
2.45801e-05;0.000309935;
2.55801e-05;0.000287268;
2.65801e-05;0.000268322;
2.75801e-05;0.000252492;
2.85801e-05;0.000239271;
2.95801e-05;0.000228231;
3.05801e-05;0.000219015;
3.15801e-05;0.000211322;
3.25801e-05;0.000204901;
3.35801e-05;0.000199542;
3.45801e-05;0.00019507;
3.55801e-05;0.000191338;
3.65801e-05;0.000188223;
3.75801e-05;0.000185624;
3.85801e-05;0.000183455;
3.95801e-05;0.000181645;
4.05801e-05;0.000180135;
4.15801e-05;0.000178874;
4.25801e-05;0.000177822;
4.35801e-05;0.000176943;
4.45801e-05;0.00017621;
4.55801e-05;0.000175597;
4.65801e-05;0.000175086;
4.75801e-05;0.000174659;
4.85801e-05;0.000174302;
4.95801e-05;0.000174004;
5.05801e-05;0.000173755;
5.15801e-05;0.000173546;
5.25801e-05;0.000173372;
5.35801e-05;0.000173225;
5.45801e-05;0.000173103;
5.55801e-05;0.000173;
5.65801e-05;0.000172914;
5.75801e-05;0.000172841;
5.85801e-05;0.00017278;
5.95801e-05;0.000172728;
6.05801e-05;0.000172685;
6.15801e-05;0.000172648;
6.25801e-05;0.000172616;
6.35801e-05;0.000172589;
6.45801e-05;0.000172566;
6.55801e-05;0.000172546;
6.65801e-05;0.000172528;
6.75801e-05;0.000172513;
6.85801e-05;0.000172499;
6.95801e-05;0.000172487;
7.05801e-05;0.000172477;
7.15801e-05;0.000172467;
7.25801e-05;0.000172458;
7.35801e-05;0.00017245;
7.45801e-05;0.000172442;
7.55801e-05;0.000172435;
7.65801e-05;0.000172429;
7.75801e-05;0.000172422;
7.85801e-05;0.000172416;
7.95801e-05;0.00017241;
8.05801e-05;0.000172404;
8.15801e-05;0.000172398;
8.25801e-05;0.000172393;
8.35801e-05;0.000172387;
8.45801e-05;0.000172381;
8.55801e-05;0.000172376;
8.65801e-05;0.00017237;
8.75801e-05;0.000172365;
8.85801e-05;0.000172359;
8.95801e-05;0.000172353;
9.05801e-05;0.000172348;
9.15801e-05;0.000172342;
9.25801e-05;0.000172336;
9.35801e-05;0.000172331;
9.45801e-05;0.000172325;
9.55801e-05;0.000172319;
9.65801e-05;0.000172313;
9.75801e-05;0.000172307;
9.85801e-05;0.000172301;
9.95801e-05;0.000172295;
0.00010058;0.000172288;
0.00010158;0.000172282;
0.00010258;0.000172276;
0.00010358;0.000172269;
0.00010458;0.000172263;
0.00010558;0.000172257;
0.00010658;0.00017225;
0.00010758;0.000172243;
0.00010858;0.000172237;
0.00010958;0.00017223;
0.00011058;0.000172223;
0.00011158;0.000172216;
0.00011258;0.000172209;
0.00011358;0.000172202;
0.00011458;0.000172195;
0.00011558;0.000172188;
0.00011658;0.00017218;
0.00011758;0.000172173;
0.00011858;0.000172166;
0.00011958;0.000172158;
0.00012058;0.000172151;
0.00012158;0.000172143;
0.00012258;0.000172135;
0.00012358;0.000172128;
0.00012458;0.00017212;
0.00012558;0.000172112;
0.00012658;0.000172104;
0.00012758;0.000172096;
0.00012858;0.000172088;
0.00012958;0.00017208;
0.00013058;0.000172072;
0.00013158;0.000172064;
0.00013258;0.000172055;
0.00013358;0.000172047;
0.00013458;0.000172038;
0.00013558;0.00017203;
0.00013658;0.000172021;
0.00013758;0.000172012;
0.00013858;0.000172004;
0.00013958;0.000171995;
0.00014058;0.000171986;
0.00014158;0.000171977;
0.00014258;0.000171968;
0.00014358;0.000171959;
0.00014458;0.00017195;
0.00014558;0.000171941;
0.00014658;0.000171931;
0.00014758;0.000171922;
0.00014858;0.000171913;
0.00014958;0.000171903;
0.00015058;0.000171893;
0.00015158;0.000171884;
0.00015258;0.000171874;
0.00015358;0.000171864;
0.00015458;0.000171855;
0.00015558;0.000171845;
0.00015658;0.000171835;
0.00015758;0.000171825;
0.00015858;0.000171815;
0.00015958;0.000171804;
0.00016058;0.000171794;
0.00016158;0.000171784;
0.00016258;0.000171773;
0.00016358;0.000171763;
0.00016458;0.000171752;
0.00016558;0.000171742;
0.00016658;0.000171731;
0.00016758;0.000171721;
0.00016858;0.00017171;
0.00016958;0.000171699;
0.00017058;0.000171688;
0.00017158;0.000171677;
0.00017258;0.000171666;
0.00017358;0.000171655;
0.00017458;0.000171644;
0.00017558;0.000171632;
0.00017658;0.000171621;
0.00017758;0.00017161;
0.00017858;0.000171598;
0.00017958;0.000171587;
0.00018058;0.000171575;
0.00018158;0.000171563;
0.00018258;0.000171552;
0.00018358;0.00017154;
0.00018458;0.000171528;
0.00018558;0.000171516;
0.00018658;0.000171504;
0.00018758;0.000171492;
0.00018858;0.00017148;
0.00018958;0.000171468;
0.00019058;0.000171455;
0.00019158;0.000171443;
0.00019258;0.000171431;
0.00019358;0.000171418;
0.00019458;0.000171406;
0.00019558;0.000171393;
0.00019658;0.00017138;
0.00019758;0.000171368;
0.00019858;0.000171355;
0.00019958;0.000171342;
0.00020058;0.000171329;
0.00020158;0.000171316;
0.00020258;0.000171303;
0.00020358;0.00017129;
0.00020458;0.000171277;
0.00020558;0.000171263;
0.00020658;0.00017125;
0.00020758;0.000171236;
0.00020858;0.000171223;
0.00020958;0.000171209;
0.00021058;0.000171196;
0.00021158;0.000171182;
0.00021258;0.000171168;
0.00021358;0.000171155;
0.00021458;0.000171141;
0.00021558;0.000171127;
0.00021658;0.000171113;
0.00021758;0.000171099;
0.00021858;0.000171084;
0.00021958;0.00017107;
0.00022058;0.000171056;
0.00022158;0.000171041;
0.00022258;0.000171027;
0.00022358;0.000171013;
0.00022458;0.000170998;
0.00022558;0.000170983;
0.00022658;0.000170969;
0.00022758;0.000170954;
0.00022858;0.000170939;
0.00022958;0.000170924;
0.00023058;0.000170909;
0.00023158;0.000170894;
0.00023258;0.000170879;
0.00023358;0.000170864;
0.00023458;0.000170849;
0.00023558;0.000170833;
0.00023658;0.000170818;
0.00023758;0.000170802;
0.00023858;0.000170787;
0.00023958;0.000170771;
0.00024058;0.000170756;
0.00024158;0.00017074;
0.00024258;0.000170724;
0.00024358;0.000170708;
0.00024458;0.000170692;
0.00024558;0.000170676;
0.00024658;0.00017066;
0.00024758;0.000170644;
0.00024858;0.000170628;
0.00024958;0.000170612;
0.00025058;0.000170595;
0.00025158;0.000170579;
0.00025258;0.000170563;
0.00025358;0.000170546;
0.00025458;0.000170529;
0.00025558;0.000170513;
0.00025658;0.000170496;
0.00025758;0.000170479;
0.00025858;0.000170462;
0.00025958;0.000170445;
0.00026058;0.000170429;
0.00026158;0.000170411;
0.00026258;0.000170394;
0.00026358;0.000170377;
0.00026458;0.00017036;
0.00026558;0.000170343;
0.00026658;0.000170325;
0.00026758;0.000170308;
0.00026858;0.00017029;
0.00026958;0.000170273;
0.00027058;0.000170255;
0.00027158;0.000170237;
0.00027258;0.000170219;
0.00027358;0.000170201;
0.00027458;0.000170183;
0.00027558;0.000170165;
0.00027658;0.000170147;
0.00027758;0.000170129;
0.00027858;0.000170111;
0.00027958;0.000170093;
0.00028058;0.000170074;
0.00028158;0.000170056;
0.00028258;0.000170038;
0.00028358;0.000170019;
0.00028458;0.00017;
0.00028558;0.000169982;
0.00028658;0.000169963;
0.00028758;0.000169944;
0.00028858;0.000169925;
0.00028958;0.000169906;
0.00029058;0.000169887;
0.00029158;0.000169868;
0.00029258;0.000169849;
0.00029358;0.00016983;
0.00029458;0.000169811;
0.00029558;0.000169791;
0.00029658;0.000169772;
0.00029758;0.000169752;
0.00029858;0.000169733;
0.00029958;0.000169713;
0.00030058;0.000169694;
0.00030158;0.000169674;
0.00030258;0.000169654;
0.00030358;0.000169634;
0.00030458;0.000169614;
0.00030558;0.000169594;
0.00030658;0.000169574;
0.00030758;0.000169554;
0.00030858;0.000169534;
0.00030958;0.000169513;
0.00031058;0.000169493;
0.00031158;0.000169473;
0.00031258;0.000169452;
0.00031358;0.000169432;
0.00031458;0.000169411;
0.00031558;0.00016939;
0.00031658;0.00016937;
0.00031758;0.000169349;
0.00031858;0.000169328;
0.00031958;0.000169307;
0.00032058;0.000169286;
0.00032158;0.000169265;
0.00032258;0.000169244;
0.00032358;0.000169222;
0.00032458;0.000169201;
0.00032558;0.00016918;
0.00032658;0.000169158;
0.00032758;0.000169137;
0.00032858;0.000169115;
0.00032958;0.000169094;
0.00033058;0.000169072;
0.00033158;0.00016905;
0.00033258;0.000169028;
0.00033358;0.000169006;
0.00033458;0.000168985;
0.00033558;0.000168962;
0.00033658;0.00016894;
0.00033758;0.000168918;
0.00033858;0.000168896;
0.00033958;0.000168874;
0.00034058;0.000168851;
0.00034158;0.000168829;
0.00034258;0.000168806;
0.00034358;0.000168784;
0.00034458;0.000168761;
0.00034558;0.000168739;
0.00034658;0.000168716;
0.00034758;0.000168693;
0.00034858;0.00016867;
0.00034958;0.000168647;
0.00035058;0.000168624;
0.00035158;0.000168601;
0.00035258;0.000168578;
0.00035358;0.000168555;
0.00035458;0.000168531;
0.00035558;0.000168508;
0.00035658;0.000168485;
0.00035758;0.000168461;
0.00035858;0.000168438;
0.00035958;0.000168414;
0.00036058;0.00016839;
0.00036158;0.000168367;
0.00036258;0.000168343;
0.00036358;0.000168319;
0.00036458;0.000168295;
0.00036558;0.000168271;
0.00036658;0.000168247;
0.00036758;0.000168223;
0.00036858;0.000168198;
0.00036958;0.000168174;
0.00037058;0.00016815;
0.00037158;0.000168125;
0.00037258;0.000168101;
0.00037358;0.000168076;
0.00037458;0.000168052;
0.00037558;0.000168027;
0.00037658;0.000168002;
0.00037758;0.000167977;
0.00037858;0.000167953;
0.00037958;0.000167928;
0.00038058;0.000167903;
0.00038158;0.000167877;
0.00038258;0.000167852;
0.00038358;0.000167827;
0.00038458;0.000167802;
0.00038558;0.000167777;
0.00038658;0.000167751;
0.00038758;0.000167726;
0.00038858;0.0001677;
0.00038958;0.000167674;
0.00039058;0.000167649;
0.00039158;0.000167623;
0.00039258;0.000167597;
0.00039358;0.000167571;
0.00039458;0.000167545;
0.00039558;0.000167519;
0.00039658;0.000167493;
0.00039758;0.000167467;
0.00039858;0.000167441;
0.00039958;0.000167415;
0.00040058;0.000167388;
0.00040158;0.000167362;
0.00040258;0.000167335;
0.00040358;0.000167309;
0.00040458;0.000167282;
0.00040558;0.000167256;
0.00040658;0.000167229;
0.00040758;0.000167202;
0.00040858;0.000167175;
0.00040958;0.000167148;
0.00041058;0.000167121;
0.00041158;0.000167094;
0.00041258;0.000167067;
0.00041358;0.00016704;
0.00041458;0.000167013;
0.00041558;0.000166985;
0.00041658;0.000166958;
0.00041758;0.000166931;
0.00041858;0.000166903;
0.00041958;0.000166875;
0.00042058;0.000166848;
0.00042158;0.00016682;
0.00042258;0.000166792;
0.00042358;0.000166764;
0.00042458;0.000166736;
0.00042558;0.000166708;
0.00042658;0.00016668;
0.00042758;0.000166652;
0.00042858;0.000166624;
0.00042958;0.000166596;
0.00043058;0.000166568;
0.00043158;0.000166539;
0.00043258;0.000166511;
0.00043358;0.000166482;
0.00043458;0.000166454;
0.00043558;0.000166425;
0.00043658;0.000166396;
0.00043758;0.000166367;
0.00043858;0.000166339;
0.00043958;0.00016631;
0.00044058;0.000166281;
0.00044158;0.000166252;
0.00044258;0.000166223;
0.00044358;0.000166193;
0.00044458;0.000166164;
0.00044558;0.000166135;
0.00044658;0.000166106;
0.00044758;0.000166076;
0.00044858;0.000166047;
0.00044958;0.000166017;
0.00045058;0.000165987;
0.00045158;0.000165958;
0.00045258;0.000165928;
0.00045358;0.000165898;
0.00045458;0.000165868;
0.00045558;0.000165838;
0.00045658;0.000165808;
0.00045758;0.000165778;
0.00045858;0.000165748;
0.00045958;0.000165718;
0.00046058;0.000165687;
0.00046158;0.000165657;
0.00046258;0.000165627;
0.00046358;0.000165596;
0.00046458;0.000165566;
0.00046558;0.000165535;
0.00046658;0.000165504;
0.00046758;0.000165474;
0.00046858;0.000165443;
0.00046958;0.000165412;
0.00047058;0.000165381;
0.00047158;0.00016535;
0.00047258;0.000165319;
0.00047358;0.000165288;
0.00047458;0.000165257;
0.00047558;0.000165225;
0.00047658;0.000165194;
0.00047758;0.000165163;
0.00047858;0.000165131;
0.00047958;0.0001651;
0.00048058;0.000165068;
0.00048158;0.000165036;
0.00048258;0.000165005;
0.00048358;0.000164973;
0.00048458;0.000164941;
0.00048558;0.000164909;
0.00048658;0.000164877;
0.00048758;0.000164845;
0.00048858;0.000164813;
0.00048958;0.000164781;
0.00049058;0.000164749;
0.00049158;0.000164716;
0.00049258;0.000164684;
0.00049358;0.000164651;
0.00049458;0.000164619;
0.00049558;0.000164586;
0.00049658;0.000164554;
0.00049758;0.000164521;
0.00049858;0.000164488;
0.00049958;0.000164455;
0.00050058;0.000164423;
0.00050158;0.00016439;
0.00050258;0.000164357;
0.00050358;0.000164324;
0.00050458;0.00016429;
0.00050558;0.000164257;
0.00050658;0.000164224;
0.00050758;0.000164191;
0.00050858;0.000164157;
0.00050958;0.000164124;
0.00051058;0.00016409;
0.00051158;0.000164057;
0.00051258;0.000164023;
0.00051358;0.000163989;
0.00051458;0.000163955;
0.00051558;0.000163921;
0.00051658;0.000163888;
0.00051758;0.000163854;
0.00051858;0.000163819;
0.00051958;0.000163785;
0.00052058;0.000163751;
0.00052158;0.000163717;
0.00052258;0.000163683;
0.00052358;0.000163648;
0.00052458;0.000163614;
0.00052558;0.000163579;
0.00052658;0.000163545;
0.00052758;0.00016351;
0.00052858;0.000163475;
0.00052958;0.000163441;
0.00053058;0.000163406;
0.00053158;0.000163371;
0.00053258;0.000163336;
0.00053358;0.000163301;
0.00053458;0.000163266;
0.00053558;0.000163231;
0.00053658;0.000163195;
0.00053758;0.00016316;
0.00053858;0.000163125;
0.00053958;0.000163089;
0.00054058;0.000163054;
0.00054158;0.000163018;
0.00054258;0.000162983;
0.00054358;0.000162947;
