time	V(n004)
0.000000000000000e+00	2.509034e+00
5.448005771037888e-08	2.509325e+00
1.089601154207578e-07	2.509590e+00
1.634401731311366e-07	2.509829e+00
2.179202308415155e-07	2.510043e+00
2.724002885518944e-07	2.510230e+00
3.268803462622733e-07	2.510393e+00
3.813604039726521e-07	2.510529e+00
4.327889754014757e-07	2.510639e+00
4.842175468302993e-07	2.510741e+00
5.356461182591228e-07	2.510834e+00
5.870746896879465e-07	2.510920e+00
6.385032611167701e-07	2.510997e+00
6.899318325455937e-07	2.511065e+00
7.413604039744172e-07	2.511126e+00
7.870746896889271e-07	2.511183e+00
8.327889754034369e-07	2.511243e+00
8.785032611179468e-07	2.511307e+00
9.242175468324567e-07	2.511375e+00
9.699318325469665e-07	2.511447e+00
1.015646118261476e-06	2.511522e+00
1.061360403975986e-06	2.511602e+00
1.135646118262065e-06	2.511742e+00
1.209931832548143e-06	2.511900e+00
1.284217546834222e-06	2.512075e+00
1.358503261120300e-06	2.512268e+00
1.432788975406379e-06	2.512478e+00
1.507074689692458e-06	2.512706e+00
1.581360403978536e-06	2.512951e+00
1.647074689693144e-06	2.513188e+00
1.712788975407752e-06	2.513448e+00
1.778503261122360e-06	2.513730e+00
1.844217546836968e-06	2.514034e+00
1.909931832551576e-06	2.514360e+00
1.975646118266183e-06	2.514709e+00
2.041360403980791e-06	2.515079e+00
2.092788975409615e-06	2.515391e+00
2.144217546838439e-06	2.515713e+00
2.195646118267262e-06	2.516047e+00
2.247074689696086e-06	2.516392e+00
2.298503261124909e-06	2.516749e+00
2.349931832553733e-06	2.517117e+00
2.401360403982557e-06	2.517496e+00
2.451360403982802e-06	2.517871e+00
2.501360403983047e-06	2.518244e+00
2.551360403983292e-06	2.518612e+00
2.601360403983537e-06	2.518978e+00
2.651360403983782e-06	2.519341e+00
2.701360403984028e-06	2.519700e+00
2.751360403984273e-06	2.520056e+00
2.808503261127410e-06	2.520447e+00
2.865646118270547e-06	2.520817e+00
2.922788975413685e-06	2.521167e+00
2.979931832556822e-06	2.521497e+00
3.037074689699959e-06	2.521806e+00
3.094217546843097e-06	2.522095e+00
3.151360403986234e-06	2.522363e+00
3.205646118272214e-06	2.522592e+00
3.259931832558195e-06	2.522808e+00
3.314217546844175e-06	2.523010e+00
3.368503261130156e-06	2.523200e+00
3.422788975416136e-06	2.523376e+00
3.477074689702117e-06	2.523540e+00
3.531360403988097e-06	2.523690e+00
3.587074689702656e-06	2.523839e+00
3.642788975417215e-06	2.523991e+00
3.698503261131774e-06	2.524147e+00
3.754217546846333e-06	2.524306e+00
3.809931832560892e-06	2.524468e+00
3.865646118275451e-06	2.524634e+00
3.921360403990009e-06	2.524802e+00
3.977074689704568e-06	2.524988e+00
4.032788975419127e-06	2.525183e+00
4.088503261133686e-06	2.525389e+00
4.144217546848245e-06	2.525605e+00
4.199931832562804e-06	2.525831e+00
4.255646118277363e-06	2.526068e+00
4.311360403991922e-06	2.526315e+00
4.364217546849324e-06	2.526558e+00
4.417074689706726e-06	2.526800e+00
4.469931832564128e-06	2.527039e+00
4.522788975421530e-06	2.527276e+00
4.575646118278932e-06	2.527512e+00
4.628503261136334e-06	2.527745e+00
4.681360403993736e-06	2.527977e+00
4.739931832565452e-06	2.528220e+00
4.798503261137167e-06	2.528443e+00
4.857074689708883e-06	2.528648e+00
4.915646118280599e-06	2.528833e+00
4.974217546852315e-06	2.528998e+00
5.032788975424030e-06	2.529145e+00
5.091360403995746e-06	2.529272e+00
5.199931832567707e-06	2.529432e+00
5.308503261139668e-06	2.529531e+00
5.417074689711629e-06	2.529569e+00
5.525646118283590e-06	2.529547e+00
5.634217546855551e-06	2.529464e+00
5.742788975427512e-06	2.529319e+00
5.851360403999473e-06	2.529114e+00
5.918503261142659e-06	2.528970e+00
5.985646118285845e-06	2.528811e+00
6.052788975429032e-06	2.528637e+00
6.119931832572218e-06	2.528448e+00
6.187074689715404e-06	2.528244e+00
6.254217546858591e-06	2.528025e+00
