Time;Channel B
(ms);(V)

-3,80605692;2,48420700
-3,80349692;2,52876400
-3,80093692;2,57316800
-3,79837692;2,52876400
-3,79581692;2,52876400
-3,79325692;2,52876400
-3,79069692;2,48420700
-3,78813692;2,43980200
-3,78557692;2,43980200
-3,78301692;2,52876400
-3,78045692;2,52876400
-3,77789692;2,43980200
-3,77533692;2,43980200
-3,77277692;2,48420700
-3,77021692;2,52876400
-3,76765692;2,57316800
-3,76509692;2,66213000
-3,76253692;2,66213000
-3,75997692;2,66213000
-3,75741692;2,57316800
-3,75485692;2,57316800
-3,75229692;2,66213000
-3,74973692;2,57316800
-3,74717692;2,48420700
-3,74461692;2,48420700
-3,74205692;2,48420700
-3,73949692;2,39524500
-3,73693692;2,35084100
-3,73437692;2,39524500
-3,73181692;2,39524500
-3,72925692;2,39524500
-3,72669692;2,48420700
-3,72413692;2,52876400
-3,72157692;2,57316800
-3,71901692;2,61757300
-3,71645692;2,66213000
-3,71389692;2,61757300
-3,71133692;2,52876400
-3,70877692;2,57316800
-3,70621692;2,66213000
-3,70365692;2,57316800
-3,70109692;2,48420700
-3,69853692;2,48420700
-3,69597692;2,52876400
-3,69341692;2,52876400
-3,69085692;2,39524500
-3,68829692;2,39524500
-3,68573692;2,39524500
-3,68317692;2,39524500
-3,68061692;2,35084100
-3,67805692;2,39524500
-3,67549692;2,48420700
-3,67293692;2,52876400
-3,67037692;2,61757300
-3,66781692;2,57316800
-3,66525692;2,52876400
-3,66269692;2,52876400
-3,66013692;2,52876400
-3,65757692;2,43980200
-3,65501692;2,39524500
-3,65245692;2,39524500
-3,64989692;2,48420700
-3,64733692;2,52876400
-3,64477692;2,48420700
-3,64221692;2,52876400
-3,63965692;2,57316800
-3,63709692;2,57316800
-3,63453692;2,52876400
-3,63197692;2,48420700
-3,62941692;2,52876400
-3,62685692;2,48420700
-3,62429692;2,43980200
-3,62173692;2,52876400
-3,61917692;2,52876400
-3,61661692;2,43980200
-3,61405692;2,43980200
-3,61149692;2,48420700
-3,60893692;2,57316800
-3,60637692;2,57316800
-3,60381692;2,52876400
-3,60125692;2,52876400
-3,59869692;2,57316800
-3,59613692;2,61757300
-3,59357692;2,66213000
-3,59101692;2,70653400
-3,58845692;2,52876400
-3,58589692;2,52876400
-3,58333692;2,57316800
-3,58077692;2,52876400
-3,57821692;2,48420700
-3,57565692;2,52876400
-3,57309692;2,57316800
-3,57053692;2,57316800
-3,56797692;2,48420700
-3,56541692;2,48420700
-3,56285692;2,48420700
-3,56029692;2,39524500
-3,55773692;2,39524500
-3,55517692;2,48420700
-3,55261692;2,52876400
-3,55005692;2,57316800
-3,54749692;2,61757300
-3,54493692;2,52876400
-3,54237692;2,48420700
-3,53981692;2,48420700
-3,53725692;2,39524500
-3,53469692;2,39524500
-3,53213692;2,39524500
-3,52957692;2,48420700
-3,52701692;2,52876400
-3,52445692;2,61757300
-3,52189692;2,66213000
-3,51933692;2,66213000
-3,51677692;2,57316800
-3,51421692;2,57316800
-3,51165692;2,48420700
-3,50909692;2,39524500
-3,50653692;2,39524500
