Time;Channel A;Channel B
(ms);(V);(V)

-0,40352499;-0,45255900;-0,15073090
-0,40096499;-0,45255900;-0,11529890
-0,39840499;-0,45255900;-0,12414930
-0,39584499;-0,45255900;-0,10644860
-0,39328499;-0,45255900;-0,06219672
-0,39072499;-0,45255900;-0,02676473
-0,38816499;-0,45255900;-0,02676473
-0,38560499;-0,45255900;-0,00906400
-0,38304499;-0,45255900;0,00863674
-0,38048499;-0,45255900;-0,00906400
-0,37792499;-0,45255900;-0,00021363
-0,37536499;-0,45255900;0,02633747
-0,37280499;-0,45255900;-0,00021363
-0,37024499;-0,45255900;-0,04446547
-0,36768499;-0,45255900;-0,04446547
-0,36512499;-0,45255900;-0,04446547
-0,36256499;-0,45255900;-0,07104709
-0,36000499;-0,45255900;-0,06219672
-0,35744499;-0,45255900;-0,04446547
-0,35488499;-0,45255900;-0,06219672
-0,35232499;-0,45255900;-0,04446547
-0,34976499;-0,45255900;-0,02676473
-0,34720499;-0,45255900;-0,04446547
-0,34464499;-0,45255900;-0,03561510
-0,34208499;-0,45255900;-0,00906400
-0,33952499;-0,44367810;-0,02676473
-0,33696499;-0,45255900;-0,00906400
-0,33440499;-0,45255900;0,02633747
-0,33184499;-0,45255900;0,05288858
-0,32928499;-0,45255900;0,04403821
-0,32672499;-0,45255900;0,07058931
-0,32416499;-0,45255900;0,08832057
-0,32160499;-0,45255900;0,06173895
-0,31904499;-0,45255900;0,07058931
-0,31648499;-0,45255900;0,08832057
-0,31392499;-0,45255900;0,06173895
-0,31136499;-0,45255900;0,02633747
-0,30880499;-0,45255900;0,02633747
-0,30624499;-0,45255900;0,01748710
-0,30368499;-0,45255900;-0,01791437
-0,30112499;-0,45255900;-0,02676473
-0,29856499;-0,45255900;-0,01791437
-0,29600499;-0,45255900;-0,04446547
-0,29344499;-0,45255900;-0,07989746
-0,29088499;-0,45255900;-0,08874783
-0,28832499;-0,45255900;-0,10644860
-0,28576499;-0,45255900;-0,13303020
-0,28320499;-0,45255900;-0,15958130
-0,28064499;-0,45255900;-0,13303020
-0,27808499;-0,45255900;-0,09759820
-0,27552499;-0,45255900;-0,09759820
-0,27296499;-0,45255900;-0,07989746
-0,27040499;-0,45255900;-0,06219672
-0,26784499;-0,45255900;-0,07104709
-0,26528499;-0,45255900;-0,07104709
-0,26272499;-0,45255900;-0,04446547
-0,26016499;-0,45255900;-0,01791437
-0,25760499;-0,44367810;-0,03561510
-0,25504499;-0,45255900;-0,00906400
-0,25248499;-0,45255900;0,02633747
-0,24992499;-0,45255900;0,04403821
-0,24736499;-0,45255900;0,03518784
-0,24480499;-0,45255900;0,06173895
-0,24224499;-0,45255900;0,09717093
-0,23968499;-0,45255900;0,08832057
-0,23712499;-0,45255900;0,07947020
-0,23456499;-0,45255900;0,10602130
-0,23200499;-0,45255900;0,12372200
-0,22944499;-0,45255900;0,10602130
-0,22688499;-0,45255900;0,09717093
-0,22432499;-0,45255900;0,10602130
-0,22176499;-0,45255900;0,07058931
-0,21920499;-0,45255900;0,04403821
-0,21664499;-0,45255900;0,04403821
-0,21408499;-0,45255900;0,01748710
-0,21152499;-0,45255900;-0,03561510
-0,20896499;-0,45255900;-0,04446547
-0,20640499;-0,45255900;-0,02676473
-0,20384499;-0,45255900;-0,03561510
-0,20128499;-0,45255900;-0,06219672
-0,19872499;-0,45255900;-0,04446547
-0,19616499;-0,45255900;-0,00906400
-0,19360499;-0,45255900;-0,00021363
-0,19104499;-0,45255900;-0,00906400
-0,18848499;-0,45255900;-0,00021363
-0,18592499;-0,44367810;-0,01791437
-0,18336499;-0,45255900;-0,06219672
-0,18080499;-0,45255900;-0,07104709
-0,17824499;-0,45255900;-0,04446547
-0,17568499;-0,45255900;-0,04446547
-0,17312499;-0,45255900;-0,03561510
-0,17056499;-0,45255900;-0,00906400
-0,16800499;-0,45255900;-0,02676473
-0,16544499;-0,45255900;-0,00906400
-0,16288499;-0,45255900;-0,00906400
-0,16032499;-0,45255900;-0,03561510
-0,15776499;-0,45255900;-0,01791437
-0,15520499;-0,45255900;0,01748710
-0,15264499;-0,44367810;0,00863674
-0,15008499;-0,45255900;-0,00021363
-0,14752499;-0,45255900;0,02633747
-0,14496499;-0,45255900;0,04403821
-0,14240499;-0,45255900;0,02633747
-0,13984499;-0,45255900;0,02633747
-0,13728499;-0,45255900;0,05288858
-0,13472499;-0,45255900;0,06173895
-0,13216499;-0,45255900;0,03518784
-0,12960499;-0,45255900;0,04403821
-0,12704499;-0,45255900;0,07058931
-0,12448499;-0,45255900;0,07947020
