Time;Channel A;Channel B
(ms);(V);(V)

-20,03195137;-0,00030519;1,95074300
-19,99099137;-0,00030519;1,95074300
-19,95003137;-0,00030519;1,95074300
-19,90907137;-0,00030519;1,95074300
-19,86811137;-0,00030519;1,95074300
-19,82715137;-0,00030519;1,95074300
-19,78619137;-0,00030519;1,95074300
-19,74523137;-0,00030519;1,95074300
-19,70427137;-0,00030519;1,95074300
-19,66331137;-0,00030519;1,95074300
-19,62235137;0,08972442;1,95074300
-19,58139137;-0,00030519;1,95074300
-19,54043137;-0,00030519;1,95074300
-19,49947137;-0,00030519;1,95074300
-19,45851137;-0,00030519;1,95074300
-19,41755137;-0,00030519;1,95074300
-19,37659137;-0,00030519;1,95074300
-19,33563137;-0,00030519;1,95074300
-19,29467137;-0,00030519;1,95074300
-19,25371137;-0,00030519;1,95074300
-19,21275137;-0,00030519;1,95074300
-19,17179137;-0,00030519;1,95074300
-19,13083137;-0,00030519;1,99514800
-19,08987137;-0,00030519;1,95074300
-19,04891137;-0,00030519;1,95074300
-19,00795137;-0,00030519;1,95074300
-18,96699137;-0,00030519;1,95074300
-18,92603137;-0,00030519;1,95074300
-18,88507137;-0,00030519;1,95074300
-18,84411138;-0,00030519;1,99514800
-18,80315138;-0,00030519;1,95074300
-18,76219138;-0,09063997;1,99514800
-18,72123138;-0,00030519;1,99514800
-18,68027138;-0,00030519;1,99514800
-18,63931138;-0,00030519;1,95074300
-18,59835138;-0,00030519;1,95074300
-18,55739138;-0,00030519;1,95074300
-18,51643138;-0,00030519;1,95074300
-18,47547138;-0,00030519;1,95074300
-18,43451138;-0,00030519;1,95074300
-18,39355138;-0,00030519;1,95074300
-18,35259138;-0,00030519;1,95074300
-18,31163138;-0,00030519;1,95074300
-18,27067138;-0,00030519;1,99514800
-18,22971138;-0,00030519;1,95074300
-18,18875138;-0,00030519;1,99514800
-18,14779138;-0,00030519;1,95074300
-18,10683138;-0,00030519;1,95074300
-18,06587138;-0,00030519;1,99514800
-18,02491138;-0,00030519;1,95074300
-17,98395138;-0,00030519;1,95074300
-17,94299138;-0,00030519;1,95074300
-17,90203138;-0,00030519;1,99514800
-17,86107138;-0,00030519;1,99514800
-17,82011138;-0,00030519;1,95074300
-17,77915138;-0,00030519;1,95074300
-17,73819138;-0,00030519;1,95074300
-17,69723138;-0,00030519;1,95074300
-17,65627138;-0,00030519;1,95074300
-17,61531138;-0,00030519;1,95074300
-17,57435138;-0,00030519;1,95074300
-17,53339138;-0,00030519;1,95074300
-17,49243138;-0,00030519;1,95074300
-17,45147138;-0,00030519;1,95074300
-17,41051138;-0,00030519;1,95074300
-17,36955138;-0,00030519;1,95074300
-17,32859138;-0,00030519;1,95074300
-17,28763138;-0,00030519;1,95074300
-17,24667138;-0,00030519;1,95074300
-17,20571139;-0,00030519;1,95074300
-17,16475139;-0,00030519;1,95074300
-17,12379139;-0,00030519;1,95074300
-17,08283139;-0,00030519;1,95074300
-17,04187139;-0,00030519;1,95074300
-17,00091139;-0,00030519;1,95074300
-16,95995139;-0,00030519;1,95074300
-16,91899139;-0,00030519;1,99514800
-16,87803139;-0,00030519;1,95074300
-16,83707139;-0,00030519;1,95074300
-16,79611139;-0,00030519;1,99514800
-16,75515139;-0,00030519;1,95074300
-16,71419139;-0,00030519;1,95074300
-16,67323139;-0,00030519;1,95074300
-16,63227139;-0,00030519;1,95074300
-16,59131139;-0,00030519;1,95074300
-16,55035139;-0,00030519;1,95074300
-16,50939139;-0,00030519;1,95074300
-16,46843139;-0,00030519;1,95074300
-16,42747139;-0,00030519;1,95074300
-16,38651139;-0,00030519;1,95074300
-16,34555139;-0,00030519;1,95074300
-16,30459139;-0,00030519;1,95074300
-16,26363139;-0,00030519;1,95074300
-16,22267139;-0,00030519;1,99514800
-16,18171139;-0,00030519;1,95074300
-16,14075139;-0,00030519;1,95074300
-16,09979139;-0,00030519;1,99514800
-16,05883139;-0,00030519;1,95074300
-16,01787139;-0,00030519;1,95074300
-15,97691139;-0,00030519;1,95074300
-15,93595139;-0,00030519;1,95074300
-15,89499139;-0,00030519;1,95074300
-15,85403139;-0,00030519;1,95074300
-15,81307139;-0,00030519;1,95074300
-15,77211139;-0,00030519;1,95074300
-15,73115139;-0,00030519;1,99514800
-15,69019139;-0,00030519;1,95074300
-15,64923139;-0,00030519;1,95074300
-15,60827139;-0,00030519;1,95074300
-15,56731139;-0,00030519;1,95074300
-15,52635140;-0,00030519;1,99514800
-15,48539140;-0,00030519;1,95074300
-15,44443140;-0,00030519;1,95074300
-15,40347140;-0,00030519;1,95074300
