Time;Channel A;Channel B
(ms);(V);(V)

-20,04622482;2,70363500;1,95074300
-20,00526482;2,65846700;1,99514800
-19,96430482;2,61345300;1,95074300
-19,92334482;2,65846700;1,99514800
-19,88238482;2,65846700;1,99514800
-19,84142482;2,56843800;1,95074300
-19,80046482;2,29804400;1,95074300
-19,75950482;2,38807300;1,99514800
-19,71854482;2,43324100;1,95074300
-19,67758482;2,38807300;1,95074300
-19,63662482;2,38807300;1,95074300
-19,59566482;2,38807300;1,95074300
-19,55470482;2,47825600;1,95074300
-19,51374482;2,65846700;1,95074300
-19,47278482;2,47825600;1,95074300
-19,43182482;2,70363500;1,95074300
-19,39086482;2,74865000;1,95074300
-19,34990482;2,56843800;1,99514800
-19,30894482;2,43324100;1,95074300
-19,26798482;2,47825600;1,99514800
-19,22702482;2,52327000;1,95074300
-19,18606482;2,38807300;1,95074300
-19,14510482;2,47825600;1,95074300
-19,10414482;2,52327000;1,95074300
-19,06318482;2,38807300;1,99514800
-19,02222482;2,47825600;1,99514800
-18,98126482;2,47825600;1,95074300
-18,94030482;2,56843800;1,95074300
-18,89934482;2,70363500;1,95074300
-18,85838482;2,52327000;1,95074300
-18,81742483;2,65846700;1,95074300
-18,77646483;2,56843800;1,95074300
-18,73550483;2,65846700;1,95074300
-18,69454483;2,56843800;1,95074300
-18,65358483;2,56843800;1,99514800
-18,61262483;2,56843800;1,99514800
-18,57166483;2,47825600;1,95074300
-18,53070483;2,34305900;1,95074300
-18,48974483;2,29804400;1,95074300
-18,44878483;2,34305900;1,95074300
-18,40782483;2,47825600;1,95074300
-18,36686483;2,52327000;1,95074300
-18,32590483;2,38807300;1,95074300
-18,28494483;2,65846700;1,95074300
-18,24398483;2,56843800;1,95074300
-18,20302483;2,38807300;1,95074300
-18,16206483;2,56843800;1,95074300
-18,12110483;2,65846700;1,95074300
-18,08014483;2,65846700;1,95074300
-18,03918483;2,52327000;1,95074300
-17,99822483;2,56843800;1,95074300
-17,95726483;2,56843800;1,99514800
-17,91630483;2,29804400;1,99514800
-17,87534483;2,34305900;1,95074300
-17,83438483;2,38807300;1,95074300
-17,79342483;2,38807300;1,95074300
-17,75246483;2,47825600;1,95074300
-17,71150483;2,47825600;1,95074300
-17,67054483;2,61345300;1,99514800
-17,62958483;2,65846700;1,95074300
-17,58862483;2,70363500;1,95074300
-17,54766483;2,65846700;1,95074300
-17,50670483;2,65846700;1,95074300
-17,46574483;2,65846700;1,95074300
-17,42478483;2,70363500;1,95074300
-17,38382483;2,56843800;1,99514800
-17,34286483;2,52327000;1,95074300
-17,30190483;2,47825600;1,95074300
-17,26094483;2,34305900;1,95074300
-17,21998483;2,34305900;1,95074300
-17,17902484;2,34305900;1,95074300
-17,13806484;2,34305900;1,95074300
-17,09710484;2,47825600;1,95074300
-17,05614484;2,38807300;1,95074300
-17,01518484;2,47825600;1,95074300
-16,97422484;2,65846700;1,95074300
-16,93326484;2,52327000;1,95074300
-16,89230484;2,65846700;1,99514800
-16,85134484;2,74865000;1,95074300
-16,81038484;2,65846700;1,95074300
-16,76942484;2,29804400;1,95074300
-16,72846484;2,70363500;1,95074300
-16,68750484;2,47825600;1,95074300
-16,64654484;2,38807300;1,95074300
-16,60558484;2,38807300;1,95074300
-16,56462484;2,34305900;1,95074300
-16,52366484;2,47825600;1,95074300
-16,48270484;2,43324100;1,95074300
-16,44174484;2,38807300;1,95074300
-16,40078484;2,47825600;1,99514800
-16,35982484;2,65846700;1,95074300
-16,31886484;2,56843800;1,95074300
-16,27790484;2,74865000;1,95074300
-16,23694484;2,74865000;1,95074300
-16,19598484;2,61345300;1,95074300
-16,15502484;2,56843800;1,95074300
-16,11406484;2,38807300;1,99514800
-16,07310484;2,38807300;1,95074300
-16,03214484;2,38807300;1,95074300
-15,99118484;2,20786200;1,95074300
-15,95022484;2,38807300;1,95074300
-15,90926484;2,38807300;1,95074300
-15,86830484;2,47825600;1,95074300
-15,82734484;2,43324100;1,95074300
-15,78638484;2,47825600;1,95074300
-15,74542484;2,65846700;1,95074300
-15,70446484;2,56843800;1,95074300
-15,66350484;2,56843800;1,95074300
-15,62254484;2,65846700;1,95074300
-15,58158484;2,47825600;1,95074300
-15,54062485;2,56843800;1,95074300
-15,49966485;2,52327000;1,95074300
-15,45870485;2,47825600;1,95074300
-15,41774485;2,47825600;1,95074300
-15,37678485;2,38807300;1,95074300
-15,33582485;2,43324100;1,95074300
-15,29486485;2,47825600;1,95074300
-15,25390485;2,47825600;1,95074300
-15,21294485;2,34305900;1,95074300
-15,17198485;2,65846700;1,95074300
