Time;Channel A
(ms);(V)

-2,00824603;2,55317900
-2,00312603;2,55317900
-1,99800603;2,64015600
-1,99288603;4,29120800
-1,98776603;4,98641900
-1,98264603;4,98641900
-1,97752603;4,98641900
-1,97240603;4,98641900
-1,96728603;4,98641900
-1,96216603;4,98641900
-1,95704603;4,98641900
-1,95192603;4,98641900
-1,94680603;4,98641900
-1,94168603;4,98641900
-1,93656603;4,98641900
-1,93144603;4,98641900
-1,92632603;4,98641900
-1,92120603;4,98641900
-1,91608603;4,98641900
-1,91096603;4,98641900
-1,90584603;4,98641900
-1,90072603;4,98641900
-1,89560603;4,98641900
-1,89048603;4,98641900
-1,88536603;4,98641900
-1,88024603;4,98641900
-1,87512603;4,98641900
-1,87000603;4,98641900
-1,86488603;4,98641900
-1,85976603;4,98641900
-1,85464603;4,98641900
-1,84952603;4,98641900
-1,84440603;4,98641900
-1,83928603;4,98641900
-1,83416603;4,98641900
-1,82904603;4,98641900
-1,82392603;4,98641900
-1,81880603;4,98641900
-1,81368603;4,98641900
-1,80856603;4,98641900
-1,80344603;4,98641900
-1,79832603;4,98641900
-1,79320603;4,98641900
-1,78808603;4,98641900
-1,78296603;4,98641900
-1,77784603;4,98641900
-1,77272603;4,98641900
-1,76760603;4,98641900
-1,76248603;4,98641900
-1,75736603;4,98641900
-1,75224603;4,98641900
-1,74712603;4,98641900
-1,74200603;4,98641900
-1,73688603;4,98641900
-1,73176603;4,98641900
-1,72664603;4,98641900
-1,72152603;4,98641900
-1,71640603;4,98641900
-1,71128603;4,98641900
-1,70616603;4,98641900
-1,70104603;4,98641900
-1,69592603;4,98641900
-1,69080603;4,98641900
-1,68568603;4,98641900
-1,68056603;4,98641900
-1,67544603;4,98641900
-1,67032603;4,98641900
-1,66520603;4,98641900
-1,66008603;4,98641900
-1,65496603;4,98641900
-1,64984603;4,98641900
-1,64472603;4,98641900
-1,63960603;4,98641900
-1,63448603;4,98641900
-1,62936603;4,98641900
-1,62424603;4,98641900
-1,61912603;4,98641900
-1,61400603;4,98641900
-1,60888603;4,98641900
-1,60376603;4,98641900
-1,59864603;4,98641900
-1,59352603;4,98641900
-1,58840603;4,98641900
-1,58328603;4,98641900
-1,57816603;4,98641900
-1,57304603;4,98641900
-1,56792603;4,98641900
-1,56280603;4,98641900
-1,55768603;4,98641900
-1,55256603;4,98641900
-1,54744603;4,98641900
-1,54232603;4,98641900
-1,53720603;4,98641900
-1,53208603;4,98641900
-1,52696603;4,98641900
-1,52184603;4,98641900
-1,51672603;4,98641900
-1,51160603;4,98641900
-1,50648603;4,98641900
-1,50136603;4,98641900
-1,49624603;4,98641900
-1,49112603;4,98641900
-1,48600603;4,98641900
-1,48088603;4,98641900
-1,47576603;4,98641900
-1,47064603;4,98641900
-1,46552603;4,98641900
-1,46040603;4,98641900
-1,45528603;4,98641900
-1,45016603;4,98641900
-1,44504603;4,98641900
-1,43992603;4,98641900
-1,43480603;4,98641900
-1,42968603;4,98641900
-1,42456603;4,98641900
-1,41944603;4,98641900
-1,41432603;4,98641900
-1,40920603;4,98641900
