Time;Channel A
(ms);(V)

-5,00351889;2,44682100
-5,00223889;2,44682100
-5,00095889;2,44682100
-4,99967889;2,44682100
-4,99839889;2,44682100
-4,99711889;2,44682100
-4,99583889;2,44682100
-4,99455889;2,44682100
-4,99327889;2,44682100
-4,99199889;2,49137900
-4,99071889;2,44682100
-4,98943889;2,44682100
-4,98815889;2,44682100
-4,98687889;2,44682100
-4,98559889;2,44682100
-4,98431889;2,44682100
-4,98303889;2,44682100
-4,98175889;2,44682100
-4,98047889;2,44682100
-4,97919889;2,44682100
-4,97791889;2,44682100
-4,97663889;2,44682100
-4,97535889;2,44682100
-4,97407889;2,44682100
-4,97279889;2,44682100
-4,97151889;2,44682100
-4,97023889;2,44682100
-4,96895889;2,44682100
-4,96767889;2,44682100
-4,96639889;2,44682100
-4,96511889;2,44682100
-4,96383889;2,44682100
-4,96255889;2,44682100
-4,96127889;2,44682100
-4,95999889;2,44682100
-4,95871889;2,49137900
-4,95743889;2,44682100
-4,95615889;2,44682100
-4,95487889;2,44682100
-4,95359889;2,44682100
-4,95231889;2,44682100
-4,95103889;2,44682100
-4,94975889;2,44682100
-4,94847889;2,44682100
-4,94719889;2,44682100
-4,94591889;2,44682100
-4,94463889;2,44682100
-4,94335889;2,44682100
-4,94207889;2,44682100
-4,94079889;2,44682100
-4,93951889;2,44682100
-4,93823889;2,44682100
-4,93695889;2,44682100
-4,93567889;2,44682100
-4,93439889;2,44682100
-4,93311889;2,44682100
-4,93183889;2,44682100
-4,93055889;2,44682100
-4,92927889;2,44682100
-4,92799889;2,44682100
-4,92671889;2,44682100
-4,92543889;2,44682100
-4,92415889;2,44682100
-4,92287889;2,44682100
-4,92159889;2,44682100
-4,92031889;2,44682100
-4,91903889;2,44682100
-4,91775889;2,44682100
-4,91647889;2,44682100
-4,91519889;2,44682100
-4,91391889;2,44682100
-4,91263889;2,44682100
-4,91135889;2,44682100
-4,91007889;2,44682100
-4,90879889;2,44682100
-4,90751889;2,44682100
-4,90623889;2,44682100
-4,90495889;2,44682100
-4,90367889;2,44682100
-4,90239889;2,44682100
-4,90111889;2,44682100
-4,89983889;2,44682100
-4,89855889;2,44682100
-4,89727889;2,44682100
-4,89599889;2,44682100
-4,89471889;2,44682100
-4,89343889;2,44682100
-4,89215889;2,44682100
-4,89087889;2,44682100
-4,88959889;2,44682100
-4,88831889;2,44682100
-4,88703889;2,44682100
-4,88575889;2,44682100
-4,88447889;2,44682100
-4,88319889;2,44682100
-4,88191889;2,44682100
-4,88063889;2,44682100
-4,87935889;2,44682100
-4,87807889;2,44682100
-4,87679889;2,44682100
-4,87551889;2,44682100
-4,87423889;2,44682100
-4,87295889;2,44682100
-4,87167889;2,44682100
-4,87039889;2,44682100
-4,86911889;2,44682100
-4,86783889;2,44682100
-4,86655889;2,44682100
-4,86527889;2,44682100
-4,86399889;2,44682100
-4,86271889;2,44682100
-4,86143889;2,44682100
-4,86015889;2,44682100
-4,85887889;2,44682100
-4,85759889;2,44682100
-4,85631889;2,44682100
-4,85503889;2,44682100
-4,85375889;2,44682100
