Time;Channel A
(ms);(V)

-2,00826791;3,94360200
-2,00314791;3,94360200
-1,99802791;3,85662400
-1,99290791;3,94360200
-1,98778791;3,85662400
-1,98266791;3,94360200
-1,97754791;3,94360200
-1,97242791;3,94360200
-1,96730791;3,94360200
-1,96218791;3,94360200
-1,95706791;3,94360200
-1,95194791;3,94360200
-1,94682791;3,94360200
-1,94170791;3,94360200
-1,93658791;3,94360200
-1,93146791;3,94360200
-1,92634791;3,94360200
-1,92122791;3,94360200
-1,91610791;3,94360200
-1,91098791;3,85662400
-1,90586791;3,94360200
-1,90074791;3,85662400
-1,89562791;3,94360200
-1,89050791;3,94360200
-1,88538791;3,94360200
-1,88026791;3,94360200
-1,87514791;3,94360200
-1,87002791;3,94360200
-1,86490791;3,94360200
-1,85978791;3,94360200
-1,85466791;3,94360200
-1,84954791;3,94360200
-1,84442791;3,94360200
-1,83930791;3,94360200
-1,83418791;3,94360200
-1,82906791;3,94360200
-1,82394791;3,94360200
-1,81882791;3,94360200
-1,81370791;3,94360200
-1,80858791;3,94360200
-1,80346791;3,94360200
-1,79834791;3,94360200
-1,79322791;3,85662400
-1,78810791;3,94360200
-1,78298791;3,94360200
-1,77786791;3,94360200
-1,77274791;3,94360200
-1,76762791;3,94360200
-1,76250791;3,94360200
-1,75738791;3,94360200
-1,75226791;3,94360200
-1,74714791;3,94360200
-1,74202791;3,94360200
-1,73690791;3,94360200
-1,73178791;3,94360200
-1,72666791;3,94360200
-1,72154791;3,94360200
-1,71642791;3,85662400
-1,71130791;3,94360200
-1,70618791;3,94360200
-1,70106791;3,94360200
-1,69594791;3,94360200
-1,69082791;3,94360200
-1,68570791;3,94360200
-1,68058791;3,94360200
-1,67546791;3,94360200
-1,67034791;3,94360200
-1,66522791;3,94360200
-1,66010791;3,94360200
-1,65498791;3,94360200
-1,64986791;3,94360200
-1,64474791;3,94360200
-1,63962791;3,94360200
-1,63450791;3,94360200
-1,62938791;3,94360200
-1,62426791;3,94360200
-1,61914791;3,94360200
-1,61402791;3,94360200
-1,60890791;3,94360200
-1,60378791;3,94360200
-1,59866791;3,94360200
-1,59354791;3,94360200
-1,58842791;3,94360200
-1,58330791;3,94360200
-1,57818791;3,94360200
-1,57306791;3,94360200
-1,56794791;3,94360200
-1,56282791;3,94360200
-1,55770791;3,94360200
-1,55258791;3,94360200
-1,54746791;3,94360200
-1,54234791;3,94360200
-1,53722791;3,94360200
-1,53210791;3,94360200
-1,52698791;3,94360200
-1,52186791;3,94360200
-1,51674791;3,94360200
-1,51162791;3,94360200
-1,50650791;3,94360200
-1,50138791;3,94360200
-1,49626791;3,94360200
-1,49114791;3,94360200
-1,48602791;3,94360200
-1,48090791;3,94360200
-1,47578791;3,94360200
-1,47066791;3,94360200
-1,46554791;3,94360200
-1,46042791;3,94360200
-1,45530791;3,94360200
-1,45018791;3,94360200
-1,44506791;3,94360200
-1,43994791;3,94360200
-1,43482791;3,94360200
-1,42970791;3,94360200
-1,42458791;3,94360200
-1,41946791;3,94360200
-1,41434791;3,94360200
-1,40922791;3,94360200
