Time;Channel A
(ms);(mV)

-5,00257686;46,11042000
-5,00129686;38,88058000
-5,00001686;32,55409000
-4,99873686;28,94070000
-4,99745686;24,42091000
-4,99617686;20,80447000
-4,99489686;17,19108000
-4,99361686;14,47798000
-4,99233686;11,76794000
-4,99105686;9,96124200
-4,98977686;7,24814600
-4,98849686;5,44145000
-4,98721686;5,44145000
-4,98593686;2,73140700
-4,98465686;1,82805900
-4,98337686;0,02136296
-4,98209686;0,02136296
-4,98081686;0,02136296
-4,97953686;0,02136296
-4,97825686;0,02136296
-4,97697686;0,02136296
-4,97569686;0,02136296
-4,97441686;-0,88198490
-4,97313686;-0,88198490
-4,97185686;-0,88198490
-4,97057686;-0,88198490
-4,96929686;-0,88198490
-4,96801686;-1,78533300
-4,96673686;-1,78533300
-4,96545686;-1,78533300
-4,96417686;-1,78533300
-4,96289686;-1,78533300
-4,96161686;-1,78533300
-4,96033686;-2,68868100
-4,95905686;-3,59202900
-4,95777686;-3,59202900
-4,95649686;-3,59202900
-4,95521686;-3,59202900
-4,95393686;-2,68868100
-4,95265686;-3,59202900
-4,95137686;-3,59202900
-4,95009686;-2,68868100
-4,94881686;-3,59202900
-4,94753686;-3,59202900
-4,94625686;-3,59202900
-4,94497686;-4,49537700
-4,94369686;-3,59202900
-4,94241686;-3,59202900
-4,94113686;-3,59202900
-4,93985686;-3,59202900
-4,93857686;-3,59202900
-4,93729686;-3,59202900
-4,93601686;-3,59202900
-4,93473686;-3,59202900
-4,93345686;-3,59202900
-4,93217686;-3,59202900
-4,93089686;-3,59202900
-4,92961686;-1,78533300
-4,92833686;-2,68868100
-4,92705686;-1,78533300
-4,92577686;-1,78533300
-4,92449686;-1,78533300
-4,92321686;-1,78533300
-4,92193686;-3,59202900
-4,92065686;-2,68868100
-4,91937686;-1,78533300
-4,91809686;-2,68868100
-4,91681686;-1,78533300
-4,91553686;-3,59202900
-4,91425686;-3,59202900
-4,91297686;-3,59202900
-4,91169686;-3,59202900
-4,91041686;-3,59202900
-4,90913686;-3,59202900
